Batch;Tunge nr;Plassering;Kraft;Filnavn;Vekt [gr];Start time;End time;Tongue Temp (IR);Pipe temp sensor;Pipe temp IR;Frostskade;Avrivningsskade;Dårlig kvalitet;Kommentar;contact_time(s);total_force_app_time(s);num_force_applications;detach_force(g);plot_path
1;1;APEX;Motor;11.03.25 15-09-45.csv;173;11.03.25 15-07-00;11.03.25 15-10-59;;-6.4;-11.0;FALSE;FALSE;FALSE;Lett skadd tunge;5.898214;3.439214;1;687.6810487684727;./main/output/plots/11.03.25 15-09-45.png
1;2;BASIS;Motor;11.03.25 15-14-24.csv;188;11.03.25 15-13-00;11.03.25 15-14-59;30.0;-9.5;-5.0;FALSE;TRUE;FALSE;;9.111214;5.811215999999999;1;1376.8992443349753;./main/output/plots/11.03.25 15-14-24.png
1;3;APEX;Motor;11.03.25 15-17-00.csv;225;11.03.25 15-16-00;11.03.25 15-17-59;28.0;-9.2;-4.0;FALSE;TRUE;TRUE;løs hinne som slapp;4.031214;0.2680089999999997;0;356.3191674876846;./main/output/plots/11.03.25 15-17-00.png
1;4;APEX;Rykk;11.03.25 15-20-11.csv;224;11.03.25 15-19-00;11.03.25 15-20-59;;-7.0;4.0;FALSE;FALSE;FALSE;;6.631;0.0;0;2209.990110344828;./main/output/plots/11.03.25 15-20-11.png
1;5;BASIS;Motor;11.03.25 15-38-13.csv;213;11.03.25 15-36-00;11.03.25 15-38-59;28.0;-11.0;5.0;TRUE;FALSE;FALSE;;6.652213;1.2877879999999997;2;232.10916650246284;./main/output/plots/11.03.25 15-38-13.png
1;6;BASIS;Rykk;11.03.25 15-41-59.csv;168;11.03.25 15-39-00;11.03.25 15-42-59;;-15.0;-22.0;TRUE;FALSE;FALSE;Siste med rig rykk, tunga fløy avgårde;10.183017;7.315077;1;931.2334192118228;./main/output/plots/11.03.25 15-41-59.png
1;1;BASIS;Rykk;11.03.25 15-45-53.csv;173;11.03.25 15-45-00;11.03.25 15-46-59;31.0;-25.0;-5.0;TRUE;FALSE;FALSE;;3.411015;3.238987;1;1900.6179679802956;./main/output/plots/11.03.25 15-45-53.png
1;2;APEX;Motor;11.03.25 15-47-59.csv;188;11.03.25 15-47-00;11.03.25 15-48-59;27.0;-22.0;-4.0;TRUE;TRUE;TRUE;dårlig apex;6.784213;4.564213;1;557.9415891625616;./main/output/plots/11.03.25 15-47-59.png
1;3;BASIS;Motor;11.03.25 15-52-11.csv;225;11.03.25 15-50-00;11.03.25 15-52-59;33.0;-4.0;-18.0;TRUE;FALSE;FALSE;;5.990206;4.706;1;87.76681231527091;./main/output/plots/11.03.25 15-52-11.png
1;4;BASIS;Rykk;11.03.25 15-54-15.csv;224;11.03.25 15-53-00;11.03.25 15-54-59;34.0;-12.0;-13.0;TRUE;TRUE;FALSE;fint rykk og skade;2.76;2.46;1;1580.464448768473;./main/output/plots/11.03.25 15-54-15.png
