batch,tongue,location,tongue_weight,tongue_temperature,cold_injury,avulsion_injury,poor_quality,method,file,start_time,end_time,contact_time,application_time,detachment_force,metal_temp,avg_temperature,avg_humidity,avg_pressure
1,1,APEX,173,,False,False,False,Motor,11.03.25 15-09-45.csv,2025-03-11T15:07:00Z,2025-03-11T15:10:59Z,5.898214,3.439214,6.743847356905342,-27.9641685513042,24.0142666666667,13.0273333333333,994.324533333333
1,1,BASIS,173,31.0,True,False,False,Jerk,11.03.25 15-45-53.csv,2025-03-11T15:45:00Z,2025-03-11T15:46:59Z,3.411015,3.238987,18.638695195693966,-18.4129659930838,24.0239024390244,13.4712195121951,994.41
1,2,APEX,188,27.0,True,True,True,Motor,11.03.25 15-47-59.csv,2025-03-11T15:47:00Z,2025-03-11T15:48:59Z,6.784213,4.564213,5.471537885361035,-12.9701022407853,24.02525,13.10675,994.42275
1,2,BASIS,188,30.0,False,True,False,Motor,11.03.25 15-14-24.csv,2025-03-11T15:13:00Z,2025-03-11T15:14:59Z,9.111214,5.811215999999999,13.502768974457585,-15.0936699922273,23.9786486486487,13.0554054054054,994.333513513514
1,3,APEX,225,28.0,False,True,True,Motor,11.03.25 15-17-00.csv,2025-03-11T15:16:00Z,2025-03-11T15:17:59Z,4.031214,0.2680089999999997,3.494297363843102,-9.34211736318664,24.0045,12.86575,994.3425
1,3,BASIS,225,33.0,True,False,False,Motor,11.03.25 15-52-11.csv,2025-03-11T15:50:00Z,2025-03-11T15:52:59Z,5.990206,4.706,0.8606984099915513,-42.7221560503335,23.9947540983607,13.092131147541,994.447540983607
1,4,APEX,224,,False,False,False,Jerk,11.03.25 15-20-11.csv,2025-03-11T15:19:00Z,2025-03-11T15:20:59Z,6.631,0.0,21.672599515613104,-3.4389657355621,24.074,13.18775,994.344
1,4,BASIS,224,34.0,True,True,False,Jerk,11.03.25 15-54-15.csv,2025-03-11T15:53:00Z,2025-03-11T15:54:59Z,2.76,2.46,15.499061686515343,-32.9841029802064,23.9995,13.026,994.452
1,5,APEX,213,34.0,True,True,False,Jerk,11.03.25 15-55-41.csv,2025-03-11T15:55:00Z,2025-03-11T15:57:59Z,8.726954000000001,6.363999999999999,19.257577341141545,-27.0825737369491,23.9866666666667,12.9603333333333,994.443833333333
1,5,BASIS,213,28.0,True,False,False,Motor,11.03.25 15-38-13.csv,2025-03-11T15:36:00Z,2025-03-11T15:38:59Z,6.652213,1.2877879999999997,2.2762133576813772,-46.0243752076253,23.9569491525424,13.0877966101695,994.359322033898
1,6,APEX,168,34.5,True,True,False,Jerk,11.03.25 15-57-17.csv,2025-03-11T15:56:00Z,2025-03-11T15:58:59Z,2.986993,2.099443,9.091244723197068,-21.2181817638621,23.9783928571429,12.9798214285714,994.444642857143
1,6,BASIS,168,,True,False,False,Jerk,11.03.25 15-41-59.csv,2025-03-11T15:39:00Z,2025-03-11T15:42:59Z,10.183017,7.315077,9.132280210513622,-30.7355478862645,23.9948684210526,13.1217105263158,994.385921052632
2,1,APEX,187,33.0,True,True,True,Jerk,12.03.25 13-40-44.csv,2025-03-12T13:39:00Z,2025-03-12T13:41:59Z,3.051985,2.2960000000000003,11.565726481331378,-30.3127765058111,23.6591379310345,14.7775862068966,995.726206896552
2,1,BASIS,187,34.0,True,False,False,Motor,12.03.25 13-25-11.csv,2025-03-12T13:23:00Z,2025-03-12T13:25:59Z,8.172213,4.563000000000001,3.294563410271725,-30.5683202909099,23.2872413793103,14.5625862068966,995.82724137931
2,2,APEX,184,34.0,True,True,True,Motor,12.03.25 13-42-54.csv,2025-03-12T13:42:00Z,2025-03-12T13:44:59Z,7.771214,6.010207,2.9591611108782745,-25.5562179194206,23.7276363636364,14.6747272727273,995.703818181818
